image,num_faces,gpu_upload_ms,gpu_gray_ms,gpu_download_ms,face_detect_ms,landmarks_ms,save_ms,total_ms
lfw-deepfunneled/lfw-deepfunneled/George_W_Bush/George_W_Bush_0276.jpg,2,2.81501,34.116,0.244042,66.2764,13.4062,36.8201,153.678
lfw-deepfunneled/lfw-deepfunneled/Richard_Myers/Richard_Myers_0016.jpg,1,2.3204,0.080987,0.217784,10.1644,9.95895,6.84449,29.587
lfw-deepfunneled/lfw-deepfunneled/Lisa_Raymond/Lisa_Raymond_0002.jpg,1,2.12656,0.074808,0.140936,9.66641,10.0512,22.1764,44.2364
lfw-deepfunneled/lfw-deepfunneled/Saeed_Anwar/Saeed_Anwar_0001.jpg,1,2.27553,0.070701,0.194262,11.8612,10.386,45.7077,70.4954
lfw-deepfunneled/lfw-deepfunneled/Natalie_Coughlin/Natalie_Coughlin_0001.jpg,1,1.73884,0.064932,0.113399,9.46473,6.61754,28.1823,46.1817
lfw-deepfunneled/lfw-deepfunneled/Claudia_Schiffer/Claudia_Schiffer_0002.jpg,1,12.6036,0.051316,0.093143,9.05853,9.96206,49.2628,81.0314
lfw-deepfunneled/lfw-deepfunneled/Ray_Allen/Ray_Allen_0002.jpg,1,1.33277,0.04028,0.255362,12.9819,6.42817,13.1331,34.1716
lfw-deepfunneled/lfw-deepfunneled/Faye_Dunaway/Faye_Dunaway_0001.jpg,1,1.65572,0.052985,0.185145,15.2674,16.9589,28.7608,62.8809
lfw-deepfunneled/lfw-deepfunneled/Yuri_Luzhkov/Yuri_Luzhkov_0001.jpg,1,1.49076,0.039571,0.281424,9.17335,6.55525,67.5545,85.0949
lfw-deepfunneled/lfw-deepfunneled/Megawati_Sukarnoputri/Megawati_Sukarnoputri_0018.jpg,1,23.2459,0.037948,0.101135,14.2188,6.39938,17.622,61.6251
lfw-deepfunneled/lfw-deepfunneled/Gustavo_Cisneros/Gustavo_Cisneros_0001.jpg,1,1.66451,0.053739,0.193713,14.1602,10.3116,9.5788,35.9626
lfw-deepfunneled/lfw-deepfunneled/Silvio_Berlusconi/Silvio_Berlusconi_0017.jpg,2,75.2411,0.037795,0.094787,10.4441,13.443,30.0311,129.292
lfw-deepfunneled/lfw-deepfunneled/George_W_Bush/George_W_Bush_0398.jpg,1,0.746036,0.038882,0.253091,14.6541,6.54229,37.2498,59.4842
lfw-deepfunneled/lfw-deepfunneled/Xiang_Huaicheng/Xiang_Huaicheng_0001.jpg,1,41.4217,0.036945,0.258634,10.8695,6.5252,4.3407,63.4526
lfw-deepfunneled/lfw-deepfunneled/Taha_Yassin_Ramadan/Taha_Yassin_Ramadan_0009.jpg,2,18.1852,0.050328,0.142454,20.4346,20.415,57.3656,116.593
lfw-deepfunneled/lfw-deepfunneled/John_Banko/John_Banko_0001.jpg,1,2.04507,0.040245,0.304876,11.1,10.0537,5.67634,29.2202
lfw-deepfunneled/lfw-deepfunneled/Roy_Jones_Jr/Roy_Jones_Jr_0002.jpg,1,38.6243,0.059659,0.183254,11.6794,11.5519,15.8688,77.9673
lfw-deepfunneled/lfw-deepfunneled/Greg_Hennigar/Greg_Hennigar_0001.jpg,1,1.63375,0.049553,0.162768,12.2364,10.1571,10.806,35.0456
lfw-deepfunneled/lfw-deepfunneled/Rudolf_Schuster/Rudolf_Schuster_0001.jpg,1,2.21582,0.052132,0.135608,15.0307,10.0267,56.1149,83.5759
lfw-deepfunneled/lfw-deepfunneled/Rollie_Massimino/Rollie_Massimino_0001.jpg,1,2.11721,0.040126,0.297112,9.99069,6.63497,47.3797,66.4598
lfw-deepfunneled/lfw-deepfunneled/Mauricio_Macri/Mauricio_Macri_0001.jpg,1,2.6998,0.066316,2.01924,15.034,6.48925,31.414,57.7225
lfw-deepfunneled/lfw-deepfunneled/Carly_Fiorina/Carly_Fiorina_0003.jpg,1,18.3808,0.054285,0.215703,11.5326,9.97122,4.94557,45.1002
lfw-deepfunneled/lfw-deepfunneled/Tom_Ridge/Tom_Ridge_0020.jpg,1,2.34958,0.042269,0.331938,7.64018,6.23804,17.7012,34.3033
lfw-deepfunneled/lfw-deepfunneled/Bill_Clinton/Bill_Clinton_0014.jpg,2,4.20204,0.051019,0.230298,11.5689,30.7347,5.63932,52.4262
lfw-deepfunneled/lfw-deepfunneled/Jeremy_Greenstock/Jeremy_Greenstock_0013.jpg,1,1.71345,0.056421,1.52705,10.1114,15.1413,5.62094,34.1706
