image,face_idx,le_x,le_y,re_x,re_y,nose_x,nose_y,mouth_l_x,mouth_l_y,mouth_r_x,mouth_r_y
lfw-deepfunneled/lfw-deepfunneled/Laura_Bush/Laura_Bush_0004.jpg,0,106,112.667,141.667,113.167,109,126,105,151,141,152
lfw-deepfunneled/lfw-deepfunneled/Ariel_Sharon/Ariel_Sharon_0057.jpg,0,109,111,146.5,113.167,119,138,110,155,143,158
lfw-deepfunneled/lfw-deepfunneled/Robert_Blake/Robert_Blake_0007.jpg,0,114.5,50.6667,136.5,51.5,126,63,115,78,135,78
lfw-deepfunneled/lfw-deepfunneled/Robert_Blake/Robert_Blake_0007.jpg,1,102.333,109.667,144.833,108.833,130,139,105,157,143,156
lfw-deepfunneled/lfw-deepfunneled/Thanongsak_Tuvinan/Thanongsak_Tuvinan_0001.jpg,0,108.833,113.833,147.167,112,124,135,110,160,145,158
lfw-deepfunneled/lfw-deepfunneled/Osama_Al_Baz/Osama_Al_Baz_0001.jpg,0,102.167,113.833,149.333,112.833,129,138,101,155,151,153
lfw-deepfunneled/lfw-deepfunneled/Fernando_Hierro/Fernando_Hierro_0001.jpg,0,105.833,115.833,146.167,114.167,127,127,106,159,148,157
lfw-deepfunneled/lfw-deepfunneled/Wes_Craven/Wes_Craven_0001.jpg,0,103.167,113.667,143.833,112.833,128,139,103,156,145,154
lfw-deepfunneled/lfw-deepfunneled/Jennifer_McCoy/Jennifer_McCoy_0001.jpg,0,30.6667,71.6667,69.6667,80.8333,53,90,23,110,60,118
lfw-deepfunneled/lfw-deepfunneled/Jennifer_McCoy/Jennifer_McCoy_0001.jpg,1,106.667,110,145,111,117,135,111,158,143,159
lfw-deepfunneled/lfw-deepfunneled/Art_Howe/Art_Howe_0001.jpg,0,103,114.5,146.333,113.333,127,134,102,160,149,159
lfw-deepfunneled/lfw-deepfunneled/Jose_Canseco/Jose_Canseco_0001.jpg,0,102.333,112.5,140.5,109.667,129,139,106,158,139,155
lfw-deepfunneled/lfw-deepfunneled/Anibal_Ibarra/Anibal_Ibarra_0003.jpg,0,99.5,115.667,143.333,114.667,126,132,105,159,147,160
lfw-deepfunneled/lfw-deepfunneled/Anibal_Ibarra/Anibal_Ibarra_0003.jpg,1,129.833,167.833,168.833,182.667,155,197,121,210,150,224
lfw-deepfunneled/lfw-deepfunneled/Serena_Williams/Serena_Williams_0007.jpg,0,101.833,113.667,149.333,111.833,129,141,101,156,153,154
lfw-deepfunneled/lfw-deepfunneled/Arlen_Specter/Arlen_Specter_0003.jpg,0,94.5,123.167,142.167,113,135,148,110,184,147,178
lfw-deepfunneled/lfw-deepfunneled/Edward_Arsenault/Edward_Arsenault_0001.jpg,0,169.167,33.8333,199.833,35,187,50,171,67,194,70
lfw-deepfunneled/lfw-deepfunneled/Edward_Arsenault/Edward_Arsenault_0001.jpg,1,101.667,115,139.667,110,137,136,110,159,140,156
lfw-deepfunneled/lfw-deepfunneled/Tim_Allen/Tim_Allen_0001.jpg,0,104.833,113,144.333,112.5,120,143,105,155,150,154
lfw-deepfunneled/lfw-deepfunneled/Atal_Bihari_Vajpayee/Atal_Bihari_Vajpayee_0005.jpg,0,101.167,115.167,148.5,112.667,120,136,105,158,147,157
lfw-deepfunneled/lfw-deepfunneled/Jan_Ullrich/Jan_Ullrich_0004.jpg,0,102.5,109.167,143.667,110.667,123,135,106,162,140,162
lfw-deepfunneled/lfw-deepfunneled/Cathy_Cunningham/Cathy_Cunningham_0001.jpg,0,106.5,118.167,148,115.333,121,129,111,162,144,160
lfw-deepfunneled/lfw-deepfunneled/Alfonso_Portillo/Alfonso_Portillo_0001.jpg,0,98.1667,111.667,146.5,108.167,125,142,105,154,146,151
lfw-deepfunneled/lfw-deepfunneled/Al_Cardenas/Al_Cardenas_0001.jpg,0,98.6667,112.5,141.833,111.333,132,136,104,160,143,158
lfw-deepfunneled/lfw-deepfunneled/Carl_Reiner/Carl_Reiner_0002.jpg,0,105.833,113,142.333,113.167,136,133,105,162,144,163
lfw-deepfunneled/lfw-deepfunneled/Tiger_Woods/Tiger_Woods_0003.jpg,0,103.167,114.833,145.833,113.833,127,137,98,156,152,154
lfw-deepfunneled/lfw-deepfunneled/Qais_al-Kazali/Qais_al-Kazali_0001.jpg,0,104.167,115.833,145.333,114.333,125,131,109,160,144,158
lfw-deepfunneled/lfw-deepfunneled/Nikki_Reed/Nikki_Reed_0002.jpg,0,100,116.333,145,113.5,130,140,102,158,147,154
lfw-deepfunneled/lfw-deepfunneled/James_Blake/James_Blake_0005.jpg,0,103.5,113.667,138.833,112.667,130,134,110,159,138,158
lfw-deepfunneled/lfw-deepfunneled/Carol_Burnett/Carol_Burnett_0002.jpg,0,104.167,113.333,144.667,113.833,130,131,102,161,146,160
